Quantify Compound Summary Report 

Printed Mon Nov 30 16:28:57 2020

Compound 1:  tryptophan

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
36	36	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_36	CABIN_TRYPTOPHAN_P3_151020_36_1CAB1.33	Analyte		1.94	29213.307	89857.742	3.251	MM	21.7	
37	37	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_37	CABIN_TRYPTOPHAN_P3_151020_36_3CAB1.35	Analyte		1.91	4639.613	88658.328	0.523	MM	4.9	
38	38	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_38	CABIN_TRYPTOPHAN_P3_151020_18_3CAB0.68	Analyte		1.88	2689.725	83899.859	0.321	bb	3.6	
39	39	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_39	CABIN_TRYPTOPHAN_P3_151020_18_1CAB0.64	Analyte		2.00	5453.306	101838.063	0.535	MM	4.9	
40	40	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_40	CABIN_TRYPTOPHAN_P3_151020_QC_2	QC	160.000	2.05	196308.516	100177.148	19.596	MM	122.9	-23.2
41	41	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_41	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_6	Blank		1.70	263.473	13.287	198.294	bd	1229.2	
42	42	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_42	CABIN_TRYPTOPHAN_P3_151020_18_4CAB0.71	Analyte		2.05	3846.230	105885.883	0.363	MM	3.9	
43	43	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_43	CABIN_TRYPTOPHAN_P3_151020_25_3CAB0.95	Analyte		2.06	373.886	120497.711	0.031	bb	1.8	
44	44	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_44	CABIN_TRYPTOPHAN_P3_151020_25_1CAB0.93	Analyte		2.09	7266.537	85145.789	0.853	bb	6.9	
45	45	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_45	CABIN_TRYPTOPHAN_P3_151020_25_4CAB0.97	Analyte		2.09	19710.432	96403.281	2.045	bb	14.3	
46	46	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_46	CABIN_TRYPTOPHAN_P3_151020_25_5CAB1.03	Analyte		2.07	19902.053	100113.156	1.988	bb	13.9	
47	47	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_47	CABIN_TRYPTOPHAN_P3_151020_5_2CAB0.11	Analyte		2.07	6657.735	100258.719	0.664	bb	5.7	
48	48	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_48	CABIN_TRYPTOPHAN_P3_151020_5_1CAB0.10	Analyte		2.07	6296.708	111180.797	0.566	bb	5.1	
49	49	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_49	CABIN_TRYPTOPHAN_P3_151020_QC_6	QC	4.000	2.07	4022.362	84474.828	0.476	bb	4.6	14.0
50	50	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_50	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_7	Blank		2.29	295.983	13.727	215.621	bb	1336.5	
51	51	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_51	CABIN_TRYPTOPHAN_P3_151020_5_5CAB0.29	Analyte		2.07	17344.408	107927.727	1.607	bb	11.6	
52	52	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_52	CABIN_TRYPTOPHAN_P3_151020_5_3CAB0.15	Analyte		2.08	10495.043	108809.266	0.965	bb	7.6	
53	53	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_53	CABIN_TRYPTOPHAN_P3_151020_5_4CAB0.21	Analyte		2.06	5698.945	115854.391	0.492	bb	4.7	
54	54	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_54	CABIN_TRYPTOPHAN_P3_151020_11_3CAB0.50	Analyte		2.06	28436.498	107831.953	2.637	bb	17.9	
55	55	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_55	CABIN_TRYPTOPHAN_P3_151020_11_5CAB0.70	Analyte		2.06	7048.042	94296.758	0.747	bb	6.2	
56	56	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_56	CABIN_TRYPTOPHAN_P3_151020_11_1CAB0.43	Analyte		2.06	19681.588	103558.070	1.901	bb	13.4	
57	57	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_57	CABIN_TRYPTOPHAN_P3_151020_QC_4	QC	20.000	2.06	23055.355	90036.414	2.561	bb	17.5	-12.7
58	58	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_58	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_8	Blank		2.30	156.292			bb		
59	59	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_59	CABIN_TRYPTOPHAN_P3_151020_11_4CAB0.53	Analyte		2.08	151590.453	25506.254	59.433	MM	369.5	
60	60	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_60	CABIN_TRYPTOPHAN_P3_151020_44_2CAB1.80	Analyte		2.07	4285.141	99042.766	0.433	MM	4.3	
61	61	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_61	CABIN_TRYPTOPHAN_P3_151020_44_5CAB2.10	Analyte		2.08	2574.649	116978.492	0.220	bb	3.0	
62	62	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_62	CABIN_TRYPTOPHAN_P3_151020_44_1CAB1.75	Analyte		2.07	2440.345	105302.352	0.232	bb	3.0	
63	63	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_63	CABIN_TRYPTOPHAN_P3_151020_39_5CAB1.81	Analyte		2.09	8841.055	103745.664	0.852	bb	6.9	
64	64	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_64	CABIN_TRYPTOPHAN_P3_151020_QC_1	QC	200.000	2.06	244766.563	92883.539	26.352	bb	164.7	-17.6
65	65	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_65	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_9	Blank		1.96	141.655			bb		
66	66	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_66	CABIN_TRYPTOPHAN_P3_151020_39_3CAB1.51	Analyte		2.06	3140.036	105780.422	0.297	MM	3.4	
67	67	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_67	CABIN_TRYPTOPHAN_P3_151020_39_1CAB1.43	Analyte		2.07	17387.244	99753.883	1.743	bb	12.4	
68	68	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_68	CABIN_TRYPTOPHAN_P3_151020_56_1CAB2.45	Analyte		2.07	9015.490	103650.445	0.870	bb	7.0	
69	69	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_69	CABIN_TRYPTOPHAN_P3_151020_4_1CAB0.09	Analyte		2.07	6483.655	110084.695	0.589	bb	5.3	
70	70	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_70	CABIN_TRYPTOPHAN_P3_151020_4_2CAB0.13	Analyte		2.07	6179.342	102058.102	0.605	bb	5.4	
71	71	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_71	CABIN_TRYPTOPHAN_P3_151020_4_3CAB0.14	Analyte		2.07	7870.536	90960.008	0.865	bb	7.0	
72	72	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_72	CABIN_TRYPTOPHAN_P3_151020_19_1CAB0.69	Analyte		2.08	9058.937	112109.633	0.808	bb	6.6	
73	73	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_73	CABIN_TRYPTOPHAN_P3_151020_QC_3	QC	80.000	2.08	94697.211	79362.797	11.932	bb	75.5	-5.6
74	74	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_74	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_10	Blank		1.86	206.407	15.306	134.854	dd	836.5	
75	75	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_75	CABIN_TRYPTOPHAN_P3_151020_PlasmaLTR_2	Analyte		2.07	2591.746	89331.789	0.290	bb	3.4	
76	76	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_76	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_12	Blank		1.92	211.335	18.302	115.471	dd	716.5	
77	77	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_77	CABIN_TRYPTOPHAN_P3_151020_Cal8_2	Standard	2.000	2.09	530.764	96985.234	0.055	db	2.0	-2.5
78	78	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_78	CABIN_TRYPTOPHAN_P3_151020_Cal7_2	Standard	4.000	2.04	4002.368	101551.516	0.394	MM	4.1	1.3
79	79	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_79	CABIN_TRYPTOPHAN_P3_151020_Cal6_2	Standard	8.000	2.06	8979.003	82822.727	1.084	bb	8.3	4.0
80	80	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_80	CABIN_TRYPTOPHAN_P3_151020_Cal5_2	Standard	20.000	2.05	21218.289	82257.109	2.580	MM	17.6	-12.1
81	81	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_81	CABIN_TRYPTOPHAN_P3_151020_Cal4_2	Standard	30.000	2.06	33062.820	65925.008	5.015	bb	32.7	8.9
82	82	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_82	CABIN_TRYPTOPHAN_P3_151020_Cal3_2	Standard	50.000	2.04	51126.703	91119.000	5.611	bbX	36.3	-27.3
83	83	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_83	CABIN_TRYPTOPHAN_P3_151020_Cal2_2	Standard	100.000	2.06	133551.063	80845.469	16.519	bb	103.9	3.9
84	84	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_84	CABIN_TRYPTOPHAN_P3_151020_Cal1_2	Standard	200.000	2.04	290420.781	108869.078	26.676	MMX	166.8	-16.6
85	85	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_85		Blank								

Compound 18:  nicotinamide adenine dinucleotide

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
1	1	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_1	CABIN_TRYPTOPHAN_P3_151020_SingleBlank_1	Blank		1.05	57.161	104873.617	0.005	bb	0.3	
2	2	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_2	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_2	Blank		1.04	73.875	3.678	200.856	bb	15165.5	
3	3	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_3	CABIN_TRYPTOPHAN_P3_151020_Cal8_1	Standard	2.000	1.04	413.730	94579.961	0.044	MMX	3.2	59.9
4	4	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_4	CABIN_TRYPTOPHAN_P3_151020_Cal7_1	Standard	4.000	1.03	566.801	101667.844	0.056	MM	4.1	2.6
5	5	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_5	CABIN_TRYPTOPHAN_P3_151020_Cal6_1	Standard	8.000	1.03	1279.917	89810.625	0.143	MM	10.7	33.2
6	6	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_6	CABIN_TRYPTOPHAN_P3_151020_Cal5_1	Standard	20.000	1.05	4187.276	85141.070	0.492	bb	37.0	85.1
7	7	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_7	CABIN_TRYPTOPHAN_P3_151020_Cal4_1	Standard	30.000	1.04	5513.461	80634.945	0.684	bb	51.5	71.7
8	8	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_8	CABIN_TRYPTOPHAN_P3_151020_Cal3_1	Standard	50.000	1.04	5810.459	75174.930	0.773	bb	58.3	16.5
9	9	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_9	CABIN_TRYPTOPHAN_P3_151020_Cal2_1	Standard	100.000	1.03	16929.426	87642.438	1.932	bb	145.7	45.7
10	10	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_10	CABIN_TRYPTOPHAN_P3_151020_Cal1_1	Standard	200.000	1.03	36122.574	99509.227	3.630	MM	274.0	37.0
11	11	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_11	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_3	Blank				12.233				
12	12	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_12	CABIN_TRYPTOPHAN_P3_151020_8_4CAB0.33	Analyte		1.06	473.582	94370.656	0.050	bb	3.7	
13	13	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_13	CABIN_TRYPTOPHAN_P3_151020_8_5CAB0.37	Analyte		1.03	294.721	89976.898	0.033	bb	2.4	
14	14	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_14	CABIN_TRYPTOPHAN_P3_151020_8_3CAB0.28	Analyte		1.05	390.407	92425.906	0.042	bb	3.1	
15	15	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_15	CABIN_TRYPTOPHAN_P3_151020_31_2CAB1.12	Analyte		1.04	364.424	91412.516	0.040	bb	2.9	
16	16	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_16	CABIN_TRYPTOPHAN_P3_151020_16_1CAB0.60	Analyte		1.04	278.783	76806.242	0.036	bb	2.6	
17	17	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_17	CABIN_TRYPTOPHAN_P3_151020_16_5CAB0.79	Analyte		1.04	648.789	89357.773	0.073	bb	5.4	
18	18	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_18	CABIN_TRYPTOPHAN_P3_151020_16_3CAB0.61	Analyte		1.04	273.494	87995.938	0.031	bb	2.2	
19	19	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_19	CABIN_TRYPTOPHAN_P3_151020_16_4CAB0.65	Analyte		1.04	471.622	91335.016	0.052	bd	3.8	
20	20	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_20	CABIN_TRYPTOPHAN_P3_151020_52_4CAB2.35	Analyte		1.04	438.030	97973.977	0.045	bb	3.3	
21	21	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_21	CABIN_TRYPTOPHAN_P3_151020_52_1CAB2.26	Analyte		1.03	320.479	85988.820	0.037	bb	2.7	
22	22	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_22	CABIN_TRYPTOPHAN_P3_151020_PlasmaLTR_1	Analyte		1.03	150.376	71124.539	0.021	bb	1.5	
23	23	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_23	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_4	Blank		1.04	23.393			bb		
24	24	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_24	CABIN_TRYPTOPHAN_P3_151020_52_5CAB2.47	Analyte		1.04	145.224	81445.109	0.018	bb	1.2	
25	25	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_25	CABIN_TRYPTOPHAN_P3_151020_52_3CAB2.33	Analyte		1.04	178.337	71912.273	0.025	bb	1.8	
26	26	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_26	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.52	Analyte		1.04	310.454	88747.094	0.035	bb	2.5	
27	27	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_27	CABIN_TRYPTOPHAN_P3_151020_14_5CAB0.67	Analyte		1.03	390.429	99272.164	0.039	bb	2.9	
28	28	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_28	CABIN_TRYPTOPHAN_P3_151020_14_1CAB0.49	Analyte		1.04	394.628	90706.375	0.044	bb	3.2	
29	29	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_29	CABIN_TRYPTOPHAN_P3_151020_QC_5	QC	8.000	1.05	1441.621	80563.258	0.179	bb	13.4	67.6
30	30	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_30	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_5	Blank		1.04	31.926			bb		
31	31	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_31	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.57	Analyte		1.05	396.522	101837.188	0.039	bb	2.8	
32	32	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_32	CABIN_TRYPTOPHAN_P3_151020_3_1CAB0.07	Analyte		1.05	267.859	99968.531	0.027	bb	1.9	
33	33	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_33	CABIN_TRYPTOPHAN_P3_151020_3_2CAB0.08	Analyte		1.04	515.881	100228.797	0.051	bb	3.8	
34	34	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_34	CABIN_TRYPTOPHAN_P3_151020_3_5CAB0.34	Analyte		1.04	365.385	91126.070	0.040	bb	2.9	
35	35	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_35	CABIN_TRYPTOPHAN_P3_151020_3_4CAB0.19	Analyte		1.04	248.974	93175.820	0.027	bb	1.9	
36	36	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_36	CABIN_TRYPTOPHAN_P3_151020_36_1CAB1.33	Analyte		1.04	384.790	91028.164	0.042	bb	3.1	
37	37	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_37	CABIN_TRYPTOPHAN_P3_151020_36_3CAB1.35	Analyte		1.04	405.074	86291.664	0.047	bb	3.4	
38	38	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_38	CABIN_TRYPTOPHAN_P3_151020_18_3CAB0.68	Analyte		1.03	299.265	77993.133	0.038	bb	2.8	
39	39	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_39	CABIN_TRYPTOPHAN_P3_151020_18_1CAB0.64	Analyte		1.04	615.799	99011.977	0.062	bb	4.6	
40	40	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_40	CABIN_TRYPTOPHAN_P3_151020_QC_2	QC	160.000	1.06	27752.020	95170.523	2.916	bb	220.1	37.5
41	41	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_41	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_6	Blank		1.05	2.431			bb		
42	42	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_42	CABIN_TRYPTOPHAN_P3_151020_18_4CAB0.71	Analyte		1.07	596.932	111044.250	0.054	bb	4.0	
43	43	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_43	CABIN_TRYPTOPHAN_P3_151020_25_3CAB0.95	Analyte		1.08	130.613	104524.859	0.012	bb	0.8	
44	44	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_44	CABIN_TRYPTOPHAN_P3_151020_25_1CAB0.93	Analyte		1.09	147.120	87516.336	0.017	bb	1.2	
45	45	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_45	CABIN_TRYPTOPHAN_P3_151020_25_4CAB0.97	Analyte		1.09	234.328	110951.203	0.021	bb	1.5	
46	46	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_46	CABIN_TRYPTOPHAN_P3_151020_25_5CAB1.03	Analyte		1.04	74.820	104032.266	0.007	bb	0.4	
47	47	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_47	CABIN_TRYPTOPHAN_P3_151020_5_2CAB0.11	Analyte		1.06	102.125	103897.969	0.010	bb	0.6	
48	48	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_48	CABIN_TRYPTOPHAN_P3_151020_5_1CAB0.10	Analyte		1.07	76.076	100221.766	0.008	bb	0.5	
49	49	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_49	CABIN_TRYPTOPHAN_P3_151020_QC_6	QC	4.000	1.08	606.122	97100.539	0.062	bb	4.6	15.2
50	50	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_50	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_7	Blank		1.08	50.144			bb		
51	51	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_51	CABIN_TRYPTOPHAN_P3_151020_5_5CAB0.29	Analyte		1.08	149.270	116845.047	0.013	bb	0.9	
52	52	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_52	CABIN_TRYPTOPHAN_P3_151020_5_3CAB0.15	Analyte		1.08	298.576	112298.789	0.027	bb	1.9	
53	53	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_53	CABIN_TRYPTOPHAN_P3_151020_5_4CAB0.21	Analyte		1.08	141.689	112385.617	0.013	db	0.8	
54	54	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_54	CABIN_TRYPTOPHAN_P3_151020_11_3CAB0.50	Analyte		1.06	42.439	99389.500	0.004	bb	0.2	
55	55	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_55	CABIN_TRYPTOPHAN_P3_151020_11_5CAB0.70	Analyte		1.07	11.686	94372.977	0.001	bbI		
56	56	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_56	CABIN_TRYPTOPHAN_P3_151020_11_1CAB0.43	Analyte		1.09	95.165	96716.477	0.010	db	0.6	
57	57	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_57	CABIN_TRYPTOPHAN_P3_151020_QC_4	QC	20.000	1.07	2843.675	100464.836	0.283	bb	21.3	6.3
58	58	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_58	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_8	Blank		1.09	5.110			bb		
59	59	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_59	CABIN_TRYPTOPHAN_P3_151020_11_4CAB0.53	Analyte		1.07	12563.077	40149.277	3.129	bb	236.2	
60	60	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_60	CABIN_TRYPTOPHAN_P3_151020_44_2CAB1.80	Analyte		1.06	20.493	91068.711	0.002	bb	0.1	
61	61	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_61	CABIN_TRYPTOPHAN_P3_151020_44_5CAB2.10	Analyte		1.09	489.711	130945.453	0.037	bb	2.7	
62	62	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_62	CABIN_TRYPTOPHAN_P3_151020_44_1CAB1.75	Analyte		1.08	269.961	113612.813	0.024	bb	1.7	
63	63	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_63	CABIN_TRYPTOPHAN_P3_151020_39_5CAB1.81	Analyte		1.10	469.297	118457.203	0.040	bd	2.9	
64	64	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_64	CABIN_TRYPTOPHAN_P3_151020_QC_1	QC	200.000	1.07	19452.010	97678.742	1.991	bb	150.3	-24.9
65	65	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_65	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_9	Blank								
66	66	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_66	CABIN_TRYPTOPHAN_P3_151020_39_3CAB1.51	Analyte		1.08	43.733	103023.930	0.004	bb	0.2	
67	67	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_67	CABIN_TRYPTOPHAN_P3_151020_39_1CAB1.43	Analyte		1.06	488.367	99242.813	0.049	bd	3.6	
68	68	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_68	CABIN_TRYPTOPHAN_P3_151020_56_1CAB2.45	Analyte		1.06	104.660	105479.766	0.010	bb	0.6	
69	69	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_69	CABIN_TRYPTOPHAN_P3_151020_4_1CAB0.09	Analyte		1.06	91.898	99561.930	0.009	bb	0.6	
70	70	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_70	CABIN_TRYPTOPHAN_P3_151020_4_2CAB0.13	Analyte		1.08	203.186	107814.938	0.019	bd	1.3	
71	71	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_71	CABIN_TRYPTOPHAN_P3_151020_4_3CAB0.14	Analyte		1.10	19.838	90020.336	0.002	bd	0.1	
72	72	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_72	CABIN_TRYPTOPHAN_P3_151020_19_1CAB0.69	Analyte		1.09	119.112	111215.961	0.011	bb	0.7	
73	73	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_73	CABIN_TRYPTOPHAN_P3_151020_QC_3	QC	80.000	1.09	14146.621	97445.555	1.452	bb	109.5	36.9
74	74	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_74	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_10	Blank		1.08	31.137			bb		
75	75	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_75	CABIN_TRYPTOPHAN_P3_151020_PlasmaLTR_2	Analyte		1.06	57.691	83886.836	0.007	bb	0.4	
76	76	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_76	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_12	Blank		1.09	47.190			bb		
77	77	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_77	CABIN_TRYPTOPHAN_P3_151020_Cal8_2	Standard	2.000	1.08	403.240	109691.016	0.037	MM	2.7	33.6
78	78	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_78	CABIN_TRYPTOPHAN_P3_151020_Cal7_2	Standard	4.000	1.07	146.269	115594.586	0.013	bb	0.9	-78.7
79	79	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_79	CABIN_TRYPTOPHAN_P3_151020_Cal6_2	Standard	8.000	1.08	730.173	103695.680	0.070	bb	5.2	-34.8
80	80	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_80	CABIN_TRYPTOPHAN_P3_151020_Cal5_2	Standard	20.000	1.07	1546.365	95241.820	0.162	bb	12.2	-39.2
81	81	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_81	CABIN_TRYPTOPHAN_P3_151020_Cal4_2	Standard	30.000	1.06	1920.611	93149.805	0.206	bb	15.5	-48.5
82	82	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_82	CABIN_TRYPTOPHAN_P3_151020_Cal3_2	Standard	50.000	1.08	1588.578	84293.055	0.188	bb	14.1	-71.7
83	83	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_83	CABIN_TRYPTOPHAN_P3_151020_Cal2_2	Standard	100.000	1.07	16219.073	103678.398	1.564	bb	118.0	18.0
84	84	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_84	CABIN_TRYPTOPHAN_P3_151020_Cal1_2	Standard	200.000	1.07	8733.598	111857.563	0.781	bb	58.8	-70.6
85	85	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_85		Blank								

Compound 19:  SIL tryptophan D5

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
1	1	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_1	CABIN_TRYPTOPHAN_P3_151020_SingleBlank_1	Blank	10.000	3.68	104873.617		104873.617	bb	11.0	9.6
